#################################################################
# Institution,Line2,Latitude,,Longitude,,Latitude Delta,Longitude Delta
#################################################################
# NY/NJ/Northeast
#
Rutgers,,40.5008,N,74.4474,W,-0.48,1.45
#################################################################
# Maryland/DC/Virginia/North Carolina
#
Davidson,,35.5008,N,80.8447,W,-0.7,0.0
#################################################################
# SoCal
#
UC Irvine,,33.6405,N,117.8443,W,-0.3,1.7
#################################################################
# Additional CLARIPHY
#
Notre,Dame,41.6177,N,86.2490,W,0.2,0.0
Rice University,,29.7174,N,95.4018,W,-0.7,0
U.Delaware,,39.6780,N,75.7506,W,0.1,-1.8
U.Alabama,,33.2140,N,87.5391,W,-0.7,0.0
Columbia,,40.8075,N,73.9626,W,-0.48,1.45
